year,tourney_key,full_name,winner_id,premio €,tourney_name,tourney_year_from_key
2023,australian open-2023,Aryna Sabalenka,214544,1852935.4398283595,australian open,2023
2024,australian open-2024,Aryna Sabalenka,214544,1900000.0,australian open,2024
2024,us open-2024,Aryna Sabalenka,214544,2500000.0,us open,2024
2020,roland garros-2020,Iga Swiatek,216347,1153285.7670865622,roland garros,2020
2022,roland garros-2022,Iga Swiatek,216347,1212616.7379000536,roland garros,2022
2022,us open-2022,Iga Swiatek,216347,2377679.8782353997,us open,2022
2023,roland garros-2023,Iga Swiatek,216347,1243417.2030427149,roland garros,2023
2024,roland garros-2024,Iga Swiatek,216347,1275000.0,roland garros,2024
2023,us open-2023,Coco Gauff,221103,2438072.947142578,us open,2023
