tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
roland garros,R32,2022,38.0,108.0,20.0,80.0,28.0,4.0,16.0,10.0,5.649717514124294,2.2598870056497176,61.016949152542374,74.07407407407408,55.072463768115945,80.0,80.0,100.0,66.66666666666666,177.0,1.0,9.0
roland garros,R32,2023,29.0,107.0,22.0,63.0,25.0,11.0,13.0,0.0,0.0,6.58682634730539,64.07185628742515,58.87850467289719,48.333333333333336,59.09090909090909,59.09090909090909,100.0,55.08982035928144,167.0,0.0,0.0
roland garros,R32,2024,38.0,143.0,15.0,95.0,31.0,2.0,9.0,4.0,1.8691588785046727,0.9345794392523363,66.82242990654206,66.43356643356644,53.52112676056338,60.0,60.0,100.0,62.149532710280376,214.0,3.0,1.0
roland garros,R64,2021,33.0,102.0,18.0,71.0,28.0,5.0,10.0,10.0,6.0606060606060606,3.0303030303030303,61.81818181818181,69.6078431372549,52.38095238095239,55.55555555555556,55.55555555555556,100.0,63.030303030303024,165.0,10.0,0.0
roland garros,R64,2022,51.0,254.0,38.0,169.0,53.0,4.0,24.0,12.0,3.4090909090909087,1.1363636363636365,72.1590909090909,66.53543307086615,52.04081632653062,63.1578947368421,63.1578947368421,100.0,62.5,352.0,10.0,2.0
roland garros,R64,2023,27.0,121.0,14.0,78.0,31.0,7.0,5.0,2.0,1.1363636363636365,3.977272727272727,68.75,64.46280991735537,49.09090909090909,35.714285714285715,35.714285714285715,100.0,59.65909090909091,176.0,2.0,0.0
roland garros,R64,2024,40.0,150.0,30.0,90.0,35.0,9.0,17.0,4.0,1.694915254237288,3.8135593220338984,63.559322033898304,60.0,46.51162790697674,56.666666666666664,56.666666666666664,100.0,55.08474576271186,236.0,2.0,2.0
roland garros,SF,2023,30.0,162.0,24.0,103.0,35.0,5.0,15.0,11.0,4.824561403508771,2.1929824561403506,71.05263157894737,63.580246913580254,45.45454545454545,62.5,62.5,100.0,58.333333333333336,228.0,8.0,3.0
roland garros,SF,2024,52.0,179.0,24.0,124.0,45.0,15.0,12.0,15.0,5.136986301369863,5.136986301369863,61.3013698630137,69.27374301675978,46.017699115044245,50.0,50.0,100.0,60.273972602739725,292.0,8.0,7.0
us open,F,2022,54.0,156.0,21.0,110.0,40.0,5.0,15.0,18.0,7.228915662650602,2.0080321285140563,62.65060240963856,70.51282051282051,58.06451612903226,71.42857142857143,71.42857142857143,100.0,65.86345381526104,249.0,14.0,4.0
us open,QF,2021,17.0,57.0,10.0,41.0,13.0,5.0,8.0,9.0,10.0,5.555555555555555,63.33333333333333,71.9298245614035,51.515151515151516,80.0,80.0,100.0,64.44444444444444,90.0,8.0,1.0
us open,QF,2022,78.0,227.0,42.0,144.0,56.0,16.0,24.0,13.0,3.4031413612565444,4.18848167539267,59.424083769633505,63.436123348017624,50.32258064516129,57.14285714285714,57.14285714285714,100.0,58.1151832460733,382.0,5.0,8.0
us open,QF,2023,31.0,107.0,9.0,80.0,27.0,7.0,5.0,9.0,5.172413793103448,4.022988505747127,61.49425287356321,74.76635514018692,46.26865671641791,55.55555555555556,55.55555555555556,100.0,63.793103448275865,174.0,3.0,6.0
us open,R128,2021,28.0,106.0,13.0,78.0,29.0,5.0,5.0,12.0,7.0588235294117645,2.941176470588235,62.35294117647059,73.58490566037736,43.75,38.46153846153847,38.46153846153847,100.0,62.35294117647059,170.0,6.0,6.0
us open,R128,2022,30.0,122.0,23.0,79.0,26.0,8.0,16.0,2.0,1.0869565217391304,4.3478260869565215,66.30434782608695,64.75409836065575,48.38709677419355,69.56521739130434,69.56521739130434,100.0,59.2391304347826,184.0,1.0,1.0
us open,R128,2023,12.0,60.0,13.0,42.0,13.0,2.0,10.0,5.0,5.681818181818182,2.272727272727273,68.18181818181817,70.0,42.857142857142854,76.92307692307693,76.92307692307693,100.0,61.36363636363637,88.0,4.0,1.0
us open,R128,2024,46.0,122.0,25.0,84.0,34.0,10.0,16.0,10.0,4.739336492890995,4.739336492890995,57.81990521327014,68.85245901639344,51.68539325842697,64.0,64.0,100.0,61.61137440758294,211.0,8.0,2.0
us open,R16,2021,56.0,173.0,44.0,96.0,45.0,16.0,24.0,10.0,3.436426116838488,5.498281786941581,59.450171821305844,55.49132947976878,47.45762711864407,54.54545454545454,54.54545454545454,100.0,52.23367697594502,291.0,7.0,3.0
us open,R16,2022,57.0,176.0,27.0,118.0,48.0,17.0,16.0,17.0,5.964912280701754,5.964912280701754,61.75438596491228,67.04545454545455,52.293577981651374,59.25925925925925,59.25925925925925,100.0,61.40350877192983,285.0,3.0,14.0
