tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
us open,R32,2020,50.0,186.0,24.0,145.0,49.0,15.0,13.0,40.0,13.651877133105803,5.1194539249146755,63.48122866894198,77.95698924731182,46.728971962616825,54.166666666666664,54.166666666666664,100.0,66.55290102389078,293.0,22.0,18.0
us open,R32,2023,22.0,65.0,9.0,45.0,21.0,4.0,2.0,11.0,9.565217391304348,3.4782608695652173,56.52173913043478,69.23076923076923,44.0,22.22222222222222,22.22222222222222,100.0,58.26086956521739,115.0,10.0,1.0
us open,R32,2024,37.0,93.0,11.0,70.0,27.0,6.0,7.0,9.0,5.389221556886228,3.592814371257485,55.688622754491014,75.26881720430107,50.0,63.63636363636363,63.63636363636363,100.0,64.07185628742515,167.0,6.0,3.0
us open,R64,2017,63.0,169.0,27.0,119.0,42.0,9.0,21.0,12.0,4.316546762589928,3.237410071942446,60.79136690647482,70.41420118343196,57.798165137614674,77.77777777777779,77.77777777777779,100.0,65.46762589928058,278.0,5.0,7.0
us open,R64,2018,30.0,109.0,27.0,71.0,27.0,8.0,18.0,14.0,7.909604519774012,4.519774011299435,61.5819209039548,65.13761467889908,44.11764705882353,66.66666666666666,66.66666666666666,100.0,57.06214689265536,177.0,10.0,4.0
us open,R64,2020,42.0,95.0,17.0,70.0,29.0,4.0,11.0,20.0,11.834319526627219,2.366863905325444,56.213017751479285,73.68421052631578,56.75675675675676,64.70588235294117,64.70588235294117,100.0,66.27218934911244,169.0,16.0,4.0
us open,R64,2021,64.0,201.0,29.0,141.0,46.0,10.0,22.0,20.0,6.191950464396285,3.0959752321981426,62.22910216718266,70.1492537313433,52.459016393442624,75.86206896551724,75.86206896551724,100.0,63.46749226006192,323.0,5.0,15.0
us open,R64,2023,27.0,79.0,10.0,58.0,23.0,5.0,4.0,11.0,7.971014492753622,3.6231884057971016,57.2463768115942,73.41772151898735,45.76271186440678,40.0,40.0,100.0,61.59420289855072,138.0,10.0,1.0
us open,R64,2024,47.0,84.0,6.0,69.0,28.0,6.0,3.0,16.0,9.876543209876543,3.7037037037037033,51.85185185185185,82.14285714285714,60.256410256410255,50.0,50.0,100.0,71.60493827160494,162.0,7.0,9.0
us open,SF,2024,63.0,147.0,16.0,114.0,49.0,12.0,6.0,27.0,10.305343511450381,4.580152671755725,56.10687022900763,77.55102040816327,54.78260869565217,37.5,37.5,100.0,67.55725190839695,262.0,16.0,11.0
wimbledon,QF,2022,57.0,216.0,28.0,151.0,55.0,10.0,13.0,24.0,7.142857142857142,2.976190476190476,64.28571428571429,69.9074074074074,47.5,46.42857142857143,46.42857142857143,100.0,61.904761904761905,336.0,5.0,19.0
wimbledon,QF,2024,61.0,171.0,22.0,120.0,45.0,4.0,12.0,17.0,6.049822064056939,1.4234875444839856,60.854092526690394,70.17543859649122,55.45454545454545,54.54545454545454,54.54545454545454,100.0,64.41281138790036,281.0,7.0,10.0
wimbledon,R128,2016,66.0,152.0,15.0,110.0,41.0,4.0,9.0,12.0,4.477611940298507,1.4925373134328357,56.71641791044776,72.36842105263158,56.896551724137936,60.0,60.0,100.0,65.67164179104478,268.0,6.0,6.0
wimbledon,R128,2017,30.0,114.0,2.0,96.0,31.0,1.0,0.0,37.0,22.981366459627328,0.6211180124223602,70.80745341614907,84.21052631578947,63.829787234042556,0.0,0.0,100.0,78.26086956521739,161.0,25.0,12.0
wimbledon,R128,2018,40.0,114.0,12.0,86.0,34.0,7.0,4.0,14.0,7.291666666666667,3.6458333333333335,59.375,75.43859649122807,51.28205128205128,33.33333333333333,33.33333333333333,100.0,65.625,192.0,8.0,6.0
wimbledon,R128,2019,34.0,103.0,15.0,82.0,29.0,3.0,10.0,23.0,13.450292397660817,1.7543859649122806,60.23391812865497,79.6116504854369,50.0,66.66666666666666,66.66666666666666,100.0,67.83625730994152,171.0,19.0,4.0
wimbledon,R128,2021,48.0,147.0,17.0,113.0,43.0,9.0,9.0,23.0,9.54356846473029,3.7344398340248963,60.99585062240664,76.87074829931973,51.06382978723404,52.94117647058824,52.94117647058824,100.0,66.80497925311202,241.0,16.0,7.0
wimbledon,R128,2022,28.0,106.0,12.0,85.0,29.0,7.0,7.0,18.0,10.909090909090908,4.242424242424243,64.24242424242425,80.18867924528303,47.45762711864407,58.333333333333336,58.333333333333336,100.0,68.48484848484848,165.0,16.0,2.0
wimbledon,R128,2023,51.0,195.0,20.0,138.0,49.0,7.0,12.0,25.0,8.960573476702509,2.5089605734767026,69.89247311827957,70.76923076923077,60.71428571428571,60.0,60.0,100.0,67.74193548387096,279.0,15.0,10.0
wimbledon,R128,2024,29.0,94.0,10.0,69.0,25.0,4.0,5.0,21.0,13.90728476821192,2.6490066225165565,62.251655629139066,73.40425531914893,50.877192982456144,50.0,50.0,100.0,64.90066225165563,151.0,18.0,3.0
wimbledon,R16,2022,22.0,108.0,18.0,79.0,26.0,9.0,11.0,19.0,11.515151515151516,5.454545454545454,65.45454545454545,73.14814814814815,38.59649122807017,61.111111111111114,61.111111111111114,100.0,61.212121212121204,165.0,16.0,3.0
