tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R64,2024,28.0,87.0,12.0,61.0,24.0,4.0,6.0,13.0,9.420289855072465,2.898550724637681,63.04347826086957,70.11494252873564,54.90196078431373,50.0,50.0,100.0,64.4927536231884,138.0,7.0,6.0
australian open,SF,2024,46.0,143.0,11.0,106.0,36.0,5.0,6.0,16.0,7.079646017699115,2.2123893805309733,63.27433628318584,74.12587412587412,55.42168674698795,54.54545454545454,54.54545454545454,100.0,67.2566371681416,226.0,9.0,7.0
roland garros,QF,2020,33.0,126.0,15.0,78.0,29.0,4.0,7.0,2.0,1.0526315789473684,2.1052631578947367,66.3157894736842,61.904761904761905,51.5625,46.666666666666664,46.666666666666664,100.0,58.42105263157895,190.0,0.0,2.0
roland garros,QF,2024,40.0,120.0,12.0,88.0,30.0,5.0,7.0,13.0,6.666666666666667,2.564102564102564,61.53846153846154,73.33333333333333,53.333333333333336,58.333333333333336,58.333333333333336,100.0,65.64102564102564,195.0,8.0,5.0
roland garros,R128,2020,25.0,105.0,17.0,72.0,27.0,6.0,8.0,3.0,1.7964071856287425,3.592814371257485,62.874251497005986,68.57142857142857,40.32258064516129,47.05882352941176,47.05882352941176,100.0,58.08383233532935,167.0,2.0,1.0
roland garros,R128,2021,70.0,174.0,22.0,118.0,51.0,16.0,10.0,18.0,5.901639344262295,5.245901639344262,57.049180327868854,67.81609195402298,53.43511450381679,45.45454545454545,45.45454545454545,100.0,61.63934426229508,305.0,5.0,13.0
roland garros,R128,2022,31.0,101.0,12.0,73.0,26.0,3.0,7.0,8.0,4.848484848484849,1.8181818181818181,61.212121212121204,72.27722772277228,48.4375,58.333333333333336,58.333333333333336,100.0,63.030303030303024,165.0,6.0,2.0
roland garros,R128,2023,31.0,83.0,12.0,55.0,24.0,2.0,6.0,8.0,5.714285714285714,1.4285714285714286,59.285714285714285,66.26506024096386,54.385964912280706,50.0,50.0,100.0,61.42857142857143,140.0,5.0,3.0
roland garros,R128,2024,32.0,110.0,20.0,77.0,28.0,13.0,14.0,10.0,5.4945054945054945,7.142857142857142,60.43956043956044,70.0,44.44444444444444,70.0,70.0,100.0,59.89010989010989,182.0,6.0,4.0
roland garros,R16,2020,48.0,152.0,14.0,109.0,37.0,10.0,7.0,6.0,2.3904382470119523,3.9840637450199203,60.55776892430279,71.71052631578947,48.484848484848484,50.0,50.0,100.0,62.54980079681275,251.0,3.0,3.0
roland garros,R16,2021,25.0,98.0,21.0,60.0,27.0,11.0,8.0,4.0,2.515723270440252,6.918238993710692,61.63522012578616,61.224489795918366,40.98360655737705,38.095238095238095,38.095238095238095,100.0,53.459119496855344,159.0,4.0,0.0
roland garros,R16,2022,24.0,64.0,7.0,49.0,19.0,3.0,3.0,10.0,8.771929824561402,2.631578947368421,56.14035087719298,76.5625,48.0,42.857142857142854,42.857142857142854,100.0,64.03508771929825,114.0,4.0,6.0
roland garros,R16,2024,22.0,133.0,20.0,84.0,32.0,7.0,8.0,6.0,3.0927835051546393,3.608247422680412,68.55670103092784,63.1578947368421,36.0655737704918,40.0,40.0,100.0,54.63917525773196,194.0,5.0,1.0
roland garros,R32,2020,33.0,146.0,21.0,84.0,33.0,2.0,10.0,2.0,0.9478672985781991,0.9478672985781991,69.19431279620854,57.534246575342465,50.76923076923077,47.61904761904761,47.61904761904761,100.0,55.45023696682464,211.0,0.0,2.0
roland garros,R32,2021,35.0,123.0,27.0,84.0,28.0,6.0,20.0,5.0,2.525252525252525,3.0303030303030303,62.121212121212125,68.29268292682927,46.666666666666664,74.07407407407408,74.07407407407408,100.0,60.1010101010101,198.0,5.0,0.0
